来源文件：/Users/xiaodi/Desktop/xingrun.web/review_plan_templates/pdf_output/万象三路 9.m4a
识别语言：zh
语言概率：1

[00:00 - 00:02] 好 随头
[00:02 - 00:05] 我们要用那个挑剪
[00:05 - 00:06] 这个是不是看
[00:06 - 00:08] 这个是不是 这个是那个
[00:08 - 00:09] 读 读
[00:39 - 00:41] AFO
[00:41 - 00:43] 他用是出局例啊
[00:43 - 00:46] 越新免ABA SEY
[00:46 - 00:48] 收成一個
[00:48 - 00:49] 一個成選制
[00:49 - 00:50] 你看
[00:50 - 00:51] 很明顯你收到那樣子
[00:51 - 00:52] 你剛剛我跟你講
[00:52 - 00:54] 你是最後兩個防塵
[00:54 - 00:55] 看不出來
[00:55 - 00:57] 所以你要有什麼一個選擇
[00:57 - 00:59] 哦兩個東西
[00:59 - 01:02] 什麼主要會變成什麼
[01:02 - 01:03] 你覺得不
[01:03 - 01:04] 沒有兩個東西
[01:04 - 01:06] 主要會變成一個防塵
[01:06 - 01:07] 你覺得
[01:07 - 01:08] 是的
[01:08 - 01:11] 所以我们选择都是不留意力去把F点表传
[01:11 - 01:13] 并且尽量起发来就要处理制造
[01:13 - 01:16] 都是把你到家在洗减好对不对
[01:16 - 01:17] 然后我那
[01:17 - 01:22] 解洗的预打过来会不会点对不对
[01:22 - 01:24] 好能够解
[01:24 - 01:25] 能够解对不对
[01:25 - 01:31] 你不得怎么
[01:31 - 01:32] 不得
[01:32 - 01:33] 哎呀我这
[01:33 - 01:35] 哎呀我这
[01:35 - 01:36] 哎呀你这一看是谁这
[01:36 - 01:37] 是这一看
[01:37 - 01:39] 你看哪个啥是不是
[01:39 - 01:41] 这个不吹下来是一笔屎的嘛
[01:41 - 01:42] 那个吹吧
[01:42 - 01:43] 对不对
[01:43 - 01:44] 但是
[01:44 - 01:46] 来说都是吹这个一笔
[01:46 - 01:47] 啊
[01:47 - 01:48] 那是吹子的
[01:50 - 01:55] 是不是那很不可吹子了
[01:55 - 01:56] 好臭啊
[01:56 - 01:57] 看全部的
[01:57 - 01:58] 但是
[01:58 - 01:59] 看全部的
[01:59 - 02:00] 看全部的
[02:00 - 02:01] 看全部的
[02:01 - 02:02] 看全部的
[02:02 - 02:03] 看全部的
[02:03 - 02:04] 看全部的
[02:04 - 02:05] 看全部的
[02:05 - 02:06] 看全部的
[02:06 - 02:07] 看全部的
[02:07 - 02:08] 看全部的
[02:08 - 02:09] 看全部的
[02:09 - 02:10] 看全部的
[02:10 - 02:15] 看全部的
[02:15 - 02:17] 本来是什么的?
[02:18 - 02:19] 好酷哦
[02:19 - 02:22] 收阿格
[02:22 - 02:24] 是不是这个发现一个事情?
[02:24 - 02:26] 差点好,是不是不接?
[02:27 - 02:28] 拉不下点
[02:29 - 02:30] 收到起来是拉不下点?
[02:30 - 02:31] 低点
[02:31 - 02:33] 是不是低点不下点?
[02:34 - 02:34] 对不对?
[02:34 - 02:35] 低点其实好酸
[02:36 - 02:37] 收阿格的
[02:37 - 02:38] 低点是不是非常好酸?
[02:38 - 02:40] 首先你一个是情况
[02:40 - 02:41] 他在拉他在拉这上
[02:42 - 02:44] 他是不是在X这上?
[02:44 - 02:45] 对不对?
[02:45 - 02:46] 低点点不要谁来个手啊
[02:46 - 02:47] 才是老花啊
[02:47 - 02:49] 沒表情是來的
[02:49 - 02:51] 你不曉得舉例嗎
[02:51 - 02:51] 對啊
[02:51 - 02:52] 我們只是
[02:52 - 02:53] 因為已經整面了
[02:53 - 02:54] 那個
[02:54 - 02:56] 裡面垂直了
[02:56 - 02:57] 對吧
[02:57 - 02:58] 所以第一天的表演是
[02:58 - 02:59] 很難熟是垂直
[02:59 - 03:00] 垂直
[03:00 - 03:01] OK
[03:01 - 03:03] 垂直
[03:03 - 03:04] 一年兩年
[03:04 - 03:06] 這個年是不是都說一年
[03:06 - 03:07] 兩個是很厲害
[03:07 - 03:10] 是不是一年都
[03:10 - 03:10] 各位三
[03:10 - 03:11] 對
[03:11 - 03:11] 兩年垂直
[03:11 - 03:15] 什麼都不平息
[03:15 - 03:19] 那你接不
[03:19 - 03:20] 你接不
[03:20 - 03:27] 因为第一诶是出于之于第一面的
[03:27 - 03:32] 我来一个,我来一个
[03:32 - 03:34] 这一走是不是都数字的人放棉上
[03:34 - 03:36] 对于也数字第一面的
[03:36 - 03:39] 对吧,还有共用于小选
[03:39 - 03:40] 跟你接着
[03:40 - 03:42] 程律,它是不是在
[03:42 - 03:44] 每个字好像在你那样
[03:44 - 03:46] 棉上的一样的方式
[03:46 - 03:51] 好,第一个都出来了
[03:51 - 03:53] 第一个就会过好B8标识出来
[03:53 - 04:28] B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-2,B的角色是1-
[04:28 - 04:30] BD都可以
[04:32 - 04:34] 这说一习就
[04:34 - 04:36] 一定是用BD
[04:36 - 04:38] 不是用DF
[04:38 - 04:39] 因为DF都没有两个位置
[04:39 - 04:40] 对不对
[04:40 - 04:42] 已经用BD
[04:42 - 04:43] BD是你指的东西
[04:43 - 04:45] 所以BF
[04:45 - 04:49] 接下来就是指算题了
[04:49 - 04:50] LAMODA
[04:50 - 04:52] 达到2倍更好
[04:52 - 04:53] 3LAMODA
[04:53 - 04:55] 达到2分3LAMODA
[04:55 - 04:57] F这B也是
[04:57 - 05:00] F-flow的音乐
[05:00 - 05:04] 拉姆打加比也来加比也加利也没说法
[05:04 - 05:06] F-2被刚好3弄不到加
[05:06 - 05:10] 而被刚好3比也没声音
[05:10 - 05:12] 跟上3弄不到
[05:12 - 05:14] F-0出来了
[05:14 - 05:18] 看多了
[05:18 - 05:21] F-0出了过好几次来就是几寸挺来
[05:23 - 05:25] 给大家4分钟时间之传
[05:26 - 05:28] 这还有4分钟
[05:28 - 05:29] 其实要多少5分钟
[05:30 - 05:32] 這就是...
[05:32 - 05:36] 神水精死的死亡
[05:36 - 05:40] 我幫你幫他說這個掉出來
[05:40 - 05:42] 好,我給你一個是用
[05:42 - 05:51] A.F.A.F.A.F.A.F.A
[05:51 - 05:53] 死亡
[05:53 - 05:59] 來,我先帶給大家加一個
[05:59 - 06:00] 追蹤我的死亡
[06:00 - 06:01] 我這邊有一個
[06:01 - 06:04] A.B.C.A
[06:04 - 06:07] 來,A.B.C.A
[06:07 - 06:09] 我许不需要成为第一面
[06:09 - 06:11] 我许不需要成为发生两个
[06:11 - 06:12] 你去吧
[06:12 - 06:13] 你去吧
[06:13 - 06:14] 你去吧
[06:14 - 06:15] 你去吧
[06:15 - 06:16] 你去吧
[06:16 - 06:17] 你去吧
[06:17 - 06:18] 你去吧
[06:18 - 06:20] 他是在地面
[06:20 - 06:22] 我們出來發生那事啊
[06:22 - 06:24] 出去自覺的一個面
[06:24 - 06:25] 你所有想要那一隻
[06:25 - 06:26] 是不對
[06:26 - 06:27] 那我問你
[06:27 - 06:28] 我只是
[06:28 - 06:29] 我都不用
[06:29 - 06:30] 你所有你死
[06:30 - 06:31] 我只得找一個
[06:31 - 06:32] 出去自覺
[06:32 - 06:33] 他也都心想
[06:33 - 06:34] 對不對
[06:34 - 06:35] 拉個手指
[06:35 - 06:36] 你你出去自他
[06:36 - 06:37] 那你接吧
[06:37 - 06:38] 那你接吧
[06:38 - 06:39] 所以手
[06:39 - 06:41] 所以说发动了这种出来的
[06:41 - 06:42] 这
[06:42 - 06:43] 嗯
[06:43 - 06:44] 这
[06:46 - 06:47] ABC
[06:48 - 06:50] 然后我们就说是AF了
[06:50 - 06:51] 所以说AF了出来的
[07:08 - 07:09] 这个是AF
[07:09 - 07:11] 好 跟他说
[07:11 - 07:12] 我们就说
[07:12 - 07:13] 要不要说一句话
[07:13 - 07:14] 要说我们说
[07:16 - 07:17] 我们的农币
[07:17 - 07:18] 要不然农币
[07:19 - 07:20] 挂上了
[07:20 - 07:21] 然后就就
[07:22 - 07:22] 还挺后发
[07:22 - 08:56] 時間死就對
[08:56 - 08:58] 等下死
[08:59 - 09:00] 你先看F的身體
[09:00 - 09:04] 這幾個話話是
[09:04 - 09:07] 我看了
[09:07 - 09:07] 拿不到
[09:07 - 09:08] 第一個人生的
[09:08 - 09:11] 不對
[09:11 - 09:12] 你拿到就成錯了
[09:12 - 09:13] 看頭了
[09:13 - 09:15] 給你死一個體目
[09:15 - 09:17] 沒錯
[09:17 - 09:18] 你看錯了
[09:18 - 09:19] 記住
[09:19 - 09:20] 你不要
[09:20 - 09:25] 跟還有三十米的X
[09:25 - 09:26] 五十米
[09:26 - 10:48] 對FB的0
[10:48 - 10:54] 来 老婆在这儿省睡的
[10:55 - 10:56] 你省睡的时候呢
[10:57 - 10:58] 你省睡啊
[10:58 - 10:59] 哪个回案
[11:00 - 11:02] 来 来 没事 拉嘛 打
[11:03 - 11:04] AF
[11:05 - 11:08] 过回案
[11:11 - 11:11] A
[11:11 - 11:12] What the
[11:12 - 11:14] 真是人类亏一算
[11:14 - 11:16] 可以给他摔得数据吧
[11:16 - 11:21] AF
[11:22 - 11:24] 里面见到那个AF
[11:24 - 11:26] 里面有个主吹一丝
[11:52 - 11:53] 有两个吗
[11:53 - 11:56] 四 四
[11:56 - 11:57] 好
[11:57 - 11:58] 来吧
[11:58 - 12:00] 来个成那个
[12:00 - 12:02] 上面是个人才能不达
[12:03 - 12:05] 下面是
[12:05 - 12:07] 等会儿下
[12:07 - 12:09] 拉木的监和离平方
[12:09 - 12:10] 家
[12:11 - 12:12] 二倍更好
[12:12 - 12:14] 三监和二倍更好三监
[12:15 - 12:17] 离平方
[12:17 - 12:18] 家
[12:18 - 12:19] 三监
[12:19 - 12:20] 四监的离平方
[12:20 - 12:23] 对于
[12:23 - 12:24] 个成了一页
[12:24 - 12:26] 对于后来二十一
[12:27 - 12:30] 十分之,刚才是三十
[12:30 - 12:33] 他同样的道理,我们去给我一块
[12:33 - 12:35] 来,远用好的
[12:35 - 12:37] 第二站有好的
[12:37 - 12:39] 刚才是,刚才是跟你
[12:39 - 12:41] 刚才是,刚才是
[12:41 - 12:44] 是,刚才是同时去发
[12:44 - 12:46] 上面是浪漠大的群发
[12:46 - 12:49] 下面你看,你说,下面平方的你们得了
[12:49 - 12:50] 他还有还有十次吗
[12:50 - 12:51] 叫人叫三年
[12:51 - 12:52] 怎么可以去下面去去
[12:52 - 12:53] 前面是平方的人,为什么没得了
[12:53 - 12:54] 不会去那十次的
[12:54 - 12:58] 二,二,二,平方
[12:58 - 13:02] 我叫監死郎莫達加死加那個
[13:02 - 13:04] 那個叫人命的方法
[13:04 - 13:05] 二被告三星了
[13:05 - 13:08] 對 先提出平方對不對
[13:08 - 13:10] 還有什麼呢
[13:10 - 13:12] 四二
[13:12 - 13:17] 四二被連郎莫達平方監會郎莫達加以
[13:17 - 13:19] 加三郎莫達
[13:19 - 13:21] 哎呀我我我我打
[13:21 - 13:23] 我來肯隨地喝茶
[13:23 - 13:26] 是不是等於我離生自己
