# 万象三路 11.m4a 转写稿
# source_wav: /tmp/wanxiangsanlu_11_16k.wav
# generated_at: 2026-05-23T21:26:56

[0.78-3.68] 好 哪个东西
[3.68-5.78] 我先给你们讲 来讲一下
[6.78-11.28] 懂电文件其实是在上一公斗两公斤狂
[15.56-18.06] 要吗 他的不是说 说不要
[18.06-26.22] 本质啊 求规矩
[26.22-30.22] 求规矩 求规矩 可能要不东西 第一个东西
[30.22-34.80] 我们称之外有一些可以提出事来的
[34.80-51.63] 大规矩所以拉西可以提提再出事
[51.63-53.63] 可以到时候去规矩
[54.63-57.13] 跟你讲 跟你说我们先派人吧
[57.63-60.63] 那些人就说 会到时候去规矩 到时候去规矩的追击
[61.63-62.63] 接受
[63.63-64.63] 接受
[64.63-65.63] 接受
[65.63-66.63] 接受
[69.63-71.63] 首先第一道
[73.63-75.63] 看到自购
[76.63-78.63] 自购是自购的大规矩
[78.63-79.63] 使用吞动
[79.63-80.63] 企业
[80.63-81.63] 对
[81.63-82.63] 唱企业
[82.63-84.63] 对于你
[84.63-87.29] 看到没有吧
[87.29-89.29] 好 我要可以一些公共
[90.29-94.95] 能够招待出来自购的大规矩
[94.95-97.95] 使用都能够招待些 可能是个月
[97.95-98.95] OK
[98.95-100.95] 好 当然
[100.95-102.95] 因为还有台数量 还有少
[102.95-104.95] 那个企业
[104.95-107.95] 交流产业 企业企业
[107.95-109.95] 另外一个人是男不打
[109.95-110.95] 还有一个企业
[110.95-115.47] OK
[115.47-117.47] 你说是男生
[117.47-118.47] 这个人是主业
[118.47-120.47] 一个人的企业
[120.47-123.47] 一个人的AB是自质
[123.47-124.47] 自己
[124.47-127.26] 企业是自质
[127.26-128.26] 一个人的企业
[128.26-129.26] 不要说这是
[129.26-130.26] AB是自质
[130.26-131.26] OK
[131.26-132.26] 还有一个人的企业
[132.26-133.26] 上面的一一点
[133.26-140.18] 一个人
[140.18-141.18] 就说是自质
[141.18-142.18] 就是个人
[142.18-143.18] 是个女生
[143.18-148.53] OK
[148.53-149.53] OK
[149.53-150.53] 好
[150.53-151.53] 哪个人
[151.53-152.53] 哪个人
[152.53-153.53] 哪个人
[153.53-154.53] 好
[154.53-155.53] 好 老闆
[155.53-156.53] 第二个
[156.53-160.90] 大家只要现成
[160.90-161.90] 你一体现
[161.90-162.90] 我里面
[162.90-163.90] 出了台里
[163.90-164.90] 你打一束死
[164.90-166.90] 可以不要水泳以外
[166.90-168.90] 你一定要在这些死
[168.90-169.90] 别让你
[169.90-170.90] 不要说
[170.90-172.90] 哪个人在停浇一段
[172.90-176.14] 哪个
[176.14-177.14] 非常主要是
[177.14-177.42] 我们今天
[177.42-179.14] 便将你换一张关键
[179.14-180.14] 因为你停浇一段
[180.14-181.14] 在折码里面
[181.14-183.14] 不要说是一个球
[183.14-185.14] OK
[185.14-186.14] 不要说
[186.14-187.14] 这个球
[187.14-189.14] 拿过来这个球被一个视频说简直
[189.14-190.14] 拿到手来扔一翻
[190.14-192.14] 对我反正等一下去打个车
[193.14-194.14] 等一下去打
[195.14-196.14] 运转
[196.14-197.14] 对不对
[197.14-198.14] OK
[198.14-199.14] 好
