[0000.62-0006.62] 好张格元最近9套 最近8套试卷的对比得分
[0006.62-0015.62] 实际得分的话 你的区间是在110至135
[0015.62-0023.62] 但是你自己孤独应得分是在132至146
[0023.62-0028.62] 中间差了20分 有20分吧 对不对
[0029.62-0032.62] 问题很大 那么问题具体在哪里
[0032.62-0035.62] 其实就是很多的习惯和细节上的流分
[0035.62-0038.62] 直到最后三套试卷 你依旧出现的问题
[0038.62-0042.91] 看错的 写漏的 算错的
[0042.91-0046.91] 这些 我说一个 这种习惯问题你自己已经知道了
[0046.91-0048.91] 那就去给它引起重视
[0048.91-0050.91] 因为刚才最开始的时候我说了
[0050.91-0054.91] 你要是期待老师靠惩罚
[0056.20-0058.20] 靠老师一直在旁边随随练
[0058.20-0062.20] 一直靠惩罚 罚抄啊 罚跳 下蹲那什么的
[0062.20-0069.20] 这种东西就是很 其实首先你这个改起来会很困难
[0069.20-0071.20] 因为可能这一段时间你改了
[0071.20-0072.20] 你下一段时间又犯了
[0072.20-0075.20] 所以我更建议的是这一种细节上的丢分
[0075.20-0077.20] 以内区力为主
[0077.20-0080.20] 就是我现在已经帮助你
[0080.20-0082.20] 倒比你找到自己的问题了 对不对
[0082.20-0084.20] 你已经写了一遍 你已经找了一遍了
[0084.20-0086.20] 那么现在你就给我记在心里面
[0086.20-0088.20] 你下一次做的时候你有意识的去避开
[0088.20-0093.20] 我希望是以有内向外的 以内区你去动自己去改变这个事情
[0093.20-0095.20] 然后第二个的话你会发现
[0095.20-0097.20] 你有题目条件 翻译错的这个问题
[0097.20-0099.33] 据你工时不会
[0099.33-0103.36] 其实就是什么 基础 知识 有遗忘
[0103.36-0105.36] 那你需要去干嘛
[0105.36-0107.36] 对 我刚才说了一句
[0107.36-0109.36] 我会给你们发四套试卷
[0109.36-0111.36] 在做这四套试卷之前
[0111.36-0112.36] 你先要干的
[0112.36-0114.36] 是去将笔记本重新复习一遍
[0114.36-0115.36] 该备就备了
[0115.36-0118.36] 可能在一些基础的定义上面
[0118.36-0120.36] 在一些基础的公式上面
[0120.36-0122.36] 你还需要再去总结一下
[0122.36-0124.36] 包括我们最后一套试卷
[0124.36-0125.36] 我是不是说了
[0125.36-0129.36] 有很多的那种灵活性的分裂讨论的
[0129.36-0131.36] 这是需要去总结决念的
[0131.36-0133.36] 第一次没有遇到过的做不出来
[0133.36-0134.36] 做漏了情况
[0134.36-0135.36] 其实我都是理解你们的
[0135.36-0136.36] 我没有兄弟们
[0136.36-0137.36] 我觉得很正常
[0137.36-0139.36] 大家并不是圣人一来就会
[0139.36-0141.36] 但是已经经历过了
[0141.36-0142.36] 我们下期把记住
[0142.36-0143.36] 好吧
[0144.36-0145.36] 唐玉涵
[0145.36-0150.95] 唐玉涵的分数
[0150.95-0157.95] 十几多分在121-141
[0157.95-0161.24] 但是英斗分数自己估出来是
[0161.24-0164.24] 138-150分
[0164.24-0167.24] 中间也是差了有十几分
[0167.24-0169.24] 二十分的分差
[0169.24-0170.24] 具体问题的话
[0170.24-0171.24] 其实你自己也知道
[0171.24-0172.24] 因为我们这里
[0172.24-0173.24] 十斗跟英斗的话
[0173.24-0177.24] 是只去加上习惯和细节上的9分
[0177.24-0178.24] 对不对
[0178.24-0179.24] 那你自己总结出来的
[0179.24-0180.24] 这些习惯和细节
[0180.24-0181.24] 还是一样的道理
[0181.24-0183.24] 我已经倒逼你把它找到了
[0183.24-0184.24] 回去的话
[0184.24-0185.24] 我希望是以内去逆为止
[0185.24-0187.24] 去动自己去改
[0187.24-0189.24] 这个东西就是自己心里面
[0189.24-0191.24] 真的要沉下来花一段时间
[0191.24-0192.24] 自己去想一想
[0192.24-0194.24] 在心里面默想一下
[0194.24-0196.24] 然后应该去复述怎样的行动
[0196.24-0197.24] 可以避免掉
[0197.24-0198.24] 我觉得自己
[0198.24-0199.24] 因为之前讲过方法了
[0199.24-0200.24] 对不对
[0200.24-0201.24] 该用哪些方法
[0201.24-0202.24] 自己去想
[0202.24-0203.24] 第二个呢
[0203.24-0205.24] 就是你也有望公式的这样一个习惯
[0205.24-0206.24] 那这个东西的话
[0206.24-0207.24] 其实就是反映出来
[0207.24-0210.24] 底层基础之时点的遗忘
[0210.24-0213.24] 所以建议你在我做暑假
[0213.24-0215.24] 这四套试卷之前
[0215.24-0217.24] 先去将笔记本
[0217.24-0218.24] 包括你们的那个错理本
[0218.24-0220.24] 包括你最近的这九套试卷
[0220.24-0222.24] 都全部先复习点了来
[0222.24-0224.24] 该总结 经验的总结了来
[0224.24-0226.24] 然后再去完成那四套试卷
[0226.24-0227.24] 我希望那四套试卷的话
[0227.24-0228.24] 可以达到你的
[0228.24-0230.24] 英斗法术的曲节
[0230.24-0231.24] OK
[0232.24-0234.24] 你们俩可能还不能走
[0234.24-0235.24] 我给你们那四套试卷没发
[0235.24-0236.24] 我打印了
[0236.24-0237.24] 在我的办公桌上
[0237.24-0238.24] 你们可以把它拿过来
[0238.24-0239.24] 我给你们发
[0239.24-0240.24] 你去吧
[0241.24-0243.24] 然后下面拿一个定书真过来
[0243.24-0245.46] 就在定书记的证
[0245.46-0246.46] 去吧
[0246.46-0247.46] 来
[0247.46-0248.46] 林蒙
[0248.46-0249.46] 实际得分
[0249.46-0251.46] 你就是太不稳定了
[0251.46-0253.46] 像唐宇航
[0253.46-0254.46] 他的英得分数区间
[0254.46-0255.46] 跟你差不多
[0255.46-0257.46] 但他的实际得分区间
[0257.46-0259.46] 他至少都是稳定在120个加的
[0259.46-0260.46] 他没有很差
[0260.46-0263.46] 你的实际得分是107
[0263.46-0265.46] 而且很多的110几
[0265.46-0267.46] 至137
[0267.46-0269.46] 然后你自己用孤的英得分数
[0269.46-0273.56] 全部在140加至150
[0273.56-0277.42] 所以你的发挥特别的不稳定
[0277.42-0278.78] OK
[0278.78-0279.78] 当然我没有说你
[0279.78-0280.78] 我没有
[0280.78-0281.78] 你没有虚报
[0281.78-0282.78] 因为我看到你的那些
[0282.78-0284.78] 错的那个原因
[0284.78-0285.78] 而且很多次都是那种
[0285.78-0287.78] 根本没有讲迹把改对的
[0287.78-0288.78] 说明你是真的会
[0288.78-0290.78] 但是不踏实
[0290.78-0291.78] 太不踏实了
